lat,lon,bonitet,zone
56.787,38.979,61,alluvial
58.431,37.921,53,peat
57.901,37.946,68,alluvial
57.815,40.081,61,sandy
57.769,39.019,68,loam
57.777,37.55,78,alluvial
58.474,39.48,48,peat
58.214,39.686,49,peat
58.025,38.292,52,peat
57.335,39.29,63,loam
58.14,40.762,52,peat
58.173,38.371,52,peat
58.407,40.664,48,peat
57.918,39.702,65,loam
57.416,38.68,73,alluvial
57.628,40.626,61,sandy
57.922,38.147,73,alluvial
58.744,39.672,52,peat
58.551,38.859,48,peat
57.464,40.359,64,sandy
58.183,39.202,48,peat
57.296,38.432,71,alluvial
57.989,39.245,70,loam
58.424,39.718,49,peat
56.656,38.85,81,alluvial
57.072,39.327,66,loam
56.912,38.545,61,alluvial
58.185,37.801,48,peat
58.042,40.569,48,peat
58.262,40.49,48,peat
58.422,40.411,48,peat
57.614,40.52,61,sandy
57.619,40.484,61,sandy
58.125,38.47,46,peat
57.421,40.368,66,sandy
58.118,40.016,53,peat
58.532,38.983,48,peat
58.145,39.028,49,peat
57.124,38.599,61,alluvial
57.958,40.583,66,sandy
57.626,38.999,68,alluvial
57.695,39.801,65,loam
57.882,37.607,68,alluvial
58.235,40.032,48,peat
58.331,40.296,53,peat
58.006,38.757,52,peat
57.6,39.121,58,loam
58.326,37.44,52,peat
57.576,39.261,68,loam
58.159,39.548,52,peat
57.272,40.052,61,sandy
57.131,39.627,66,loam
57.019,39.08,56,loam
57.251,39.532,66,loam
58.345,38.843,52,peat
57.315,40.018,66,sandy
58.584,37.977,52,peat
58.539,40.099,52,peat
57.671,40.237,69,sandy
56.606,38.698,66,alluvial
58.575,40.018,49,peat
58.302,41.085,60,loam
58.147,39.028,53,peat
56.95,39.044,61,loam
57.559,39.769,65,loam
57.509,39.76,60,loam
57.906,38.298,68,alluvial
57.7,38.945,73,alluvial
58.429,37.93,52,peat
57.351,40.127,56,sandy
58.324,37.923,48,peat
58.62,39.537,48,peat
57.461,38.138,71,alluvial
58.51,40.908,48,peat
57.777,38.963,70,alluvial
58.584,37.84,44,peat
58.302,39.699,48,peat
58.515,38.147,52,peat
57.358,38.115,76,alluvial
57.129,39.797,68,loam
57.065,39.116,73,loam
57.944,39.751,70,loam
57.884,39.449,70,loam
58.828,39.666,48,peat
57.48,38.289,73,alluvial
58.646,38.466,42,peat
58.004,39.311,49,peat
58.364,39.776,49,peat
58.023,39.846,49,peat
57.796,38.009,73,alluvial
57.815,38.913,68,alluvial
57.958,39.34,75,loam
58.532,40.165,49,peat
57.693,38.569,68,alluvial
58.102,39.166,48,peat
57.368,39.27,73,loam
58.548,38.181,52,peat
58.214,39.903,53,peat
58.245,40.402,52,peat
57.573,38.565,73,alluvial
58.446,38.603,45,peat
57.389,38.05,73,alluvial
58.078,38.85,53,peat
58.448,38.927,53,peat
58.142,37.776,48,peat
56.661,39.062,63,loam
58.481,39.641,48,peat
57.815,39.742,58,loam
57.485,39.338,58,loam
57.476,40.149,69,sandy
58.438,39.544,48,peat
56.802,38.438,66,alluvial
57.315,38.832,71,alluvial
58.369,39.896,48,peat
57.616,40.4,66,sandy
56.89,38.549,61,alluvial
57.81,39.722,66,loam
58.357,38.007,42,peat
57.628,39.058,66,loam
58.417,39.39,48,peat
58.047,38.298,53,peat
58.434,38.771,49,peat
58.245,39.433,49,peat
56.926,38.689,66,alluvial
57.373,38.208,71,alluvial
56.747,39.275,61,loam
58.221,40.151,49,peat
58.214,40.707,48,peat
58.018,39.851,44,peat
56.998,39.114,68,loam
57.91,39.128,65,loam
58.393,38.719,49,peat
58.116,40.097,53,peat
57.93,37.977,68,alluvial
57.428,38.902,68,alluvial
58.348,40.237,48,peat
58.152,39.189,48,peat
57.585,40.036,66,sandy
57.877,40.287,69,sandy
57.045,39.062,61,loam
57.057,38.651,68,alluvial
57.643,39.957,70,loam
57.829,40.617,69,sandy
57.817,40.221,66,sandy
57.879,39.826,70,loam
58.35,40.999,48,peat
56.673,39.205,68,loam
57.803,39.211,65,loam
57.965,39.286,56,loam
57.977,38.725,73,alluvial
58.054,39.501,48,peat
57.822,39.55,63,loam
57.516,38.382,71,alluvial
57.987,38.994,68,alluvial
57.619,39.021,61,loam
57.918,40.147,64,sandy
57.879,39.609,65,loam
56.926,39.055,66,loam
57.38,38.737,68,alluvial
57.246,38.651,73,alluvial
58.453,38.554,44,peat
58.063,38.355,56,peat
58.388,39.564,48,peat
57.148,39.53,66,loam
57.748,39.363,68,loam
58.474,38.816,50,peat
58.231,38.138,52,peat
57.691,39.435,70,loam
58.276,40.151,53,peat
57.523,37.894,73,alluvial
58.732,38.902,48,peat
58.436,39.11,48,peat
57.815,39.885,68,loam
57.937,39.073,50,loam
57.748,39.905,75,loam
58.522,40.425,48,peat
57.609,39.672,68,loam
57.452,38.988,73,alluvial
58.608,38.866,44,peat
58.68,39.939,49,peat
57.323,39.98,73,loam
58.515,38.68,46,peat
58.264,38.203,44,peat
57.117,39.584,66,loam
57.311,38.94,73,alluvial
57.918,38.893,72,alluvial
57.786,38.038,78,alluvial
58.025,40.131,46,peat
58.123,38.097,50,peat
57.112,39.473,66,loam
57.982,37.568,68,alluvial
57.294,40.217,69,sandy
58.656,38.362,44,peat
56.828,39.347,63,loam
56.838,39.069,63,loam
58.496,39.116,48,peat
57.174,39.372,68,loam
56.644,38.782,76,alluvial
58.03,39.984,53,peat
58.207,38.992,48,peat
57.738,38.859,68,alluvial
57.82,38.02,73,alluvial
58.016,40.172,52,peat
58.74,38.859,48,peat
56.783,38.31,68,alluvial
58.087,39.869,53,peat
56.904,38.368,71,alluvial
57.671,39.544,75,loam
57.487,40.312,61,sandy
57.456,38.023,71,alluvial
57.793,40.292,66,sandy
57.664,40.118,61,sandy
57.946,39.955,60,loam
58.004,40.285,48,peat
57.734,38.323,73,alluvial
58.589,37.84,44,peat
57.406,39.815,68,loam
58.094,40.454,48,peat
57.588,38.118,73,alluvial
58.278,38.24,44,peat
57.358,39.053,68,loam
57.237,39.498,68,loam
57.958,38.016,73,alluvial
57.485,38.33,68,alluvial
58.171,38.818,46,peat
57.578,38.841,73,alluvial
58.066,38.967,60,peat
58.477,38.086,52,peat
57.75,37.837,78,alluvial
58.503,37.889,48,peat
58.388,38.371,49,peat
57.571,39.137,70,loam
57.953,39.765,65,loam
57.349,38.108,73,alluvial
57.511,40.075,66,sandy
57.131,39.254,78,loam
57.409,38.967,73,alluvial
57.22,38.377,73,alluvial
57.64,40.414,66,sandy
57.994,40.108,61,sandy
58.133,37.971,46,peat
58.888,39.06,48,peat
57.922,39.72,70,loam
57.82,37.846,68,alluvial
58.474,38.615,50,peat
58.563,38.276,48,peat
57.222,39.819,63,loam
58.587,39.216,48,peat
57.323,39.505,61,loam
57.765,40.52,61,sandy
58.008,39.035,53,peat
57.805,37.907,78,alluvial
58.453,40.949,48,peat
56.926,38.466,71,alluvial
57.698,38.725,68,alluvial
57.564,37.898,68,alluvial
57.674,37.785,63,alluvial
57.863,37.995,71,alluvial
57.342,38.8,68,alluvial
57.944,39.082,63,loam
57.705,38.651,73,alluvial
58.62,39.896,49,peat
58.866,39.295,48,peat
58.078,38.536,48,peat
58.379,40.296,49,peat
58.747,38.617,48,peat
58.154,39.889,48,peat
56.599,39.033,56,loam
58.493,39.41,45,peat
58.214,39.017,44,peat
58.596,39.32,45,peat
57.516,38.183,71,alluvial
57.848,39.482,70,loam
58.816,39.498,45,peat
58.503,41.06,63,loam
58.07,39.93,52,peat
57.124,39.627,68,loam
58.536,38.49,46,peat
58.381,39.862,48,peat
58.3,40.156,48,peat
58.372,38.832,49,peat
58.419,40.375,52,peat
57.473,39.821,61,loam
57.937,39.173,73,loam
57.781,39.492,65,loam
58.374,40.21,49,peat
58.262,40.809,48,peat
57.547,38.194,73,alluvial
57.994,39.977,65,loam
58.037,38.92,49,peat
57.781,39.304,68,loam
57.951,40.445,69,sandy
58.687,39.928,48,peat
58.329,38.823,48,peat
57.335,38.872,68,alluvial
58.379,39.304,49,peat
58.73,38.588,48,peat
57.714,39.211,70,loam
58.687,39.006,48,peat
58.269,39.559,49,peat
57.939,37.598,68,alluvial
56.818,39.051,66,loam
58.049,39.372,48,peat
56.716,39.261,66,loam
58.314,40.066,48,peat
58.204,38.276,52,peat
58.278,40.188,62,peat
58.352,37.982,44,peat
58.376,38.219,48,peat
57.841,37.733,68,alluvial
58.314,38.106,52,peat
57.987,39.295,65,loam
58.25,38.963,48,peat
56.68,38.538,73,alluvial
57.848,38.332,73,alluvial
57.036,39.62,63,loam
56.974,38.251,66,alluvial
58.054,40.348,48,peat
58.049,39.537,49,peat
58.302,38.081,44,peat
57.741,39.44,68,loam
58.209,39.024,48,peat
57.631,37.853,73,alluvial
58.751,39.157,44,peat
56.814,39.315,53,loam
57.385,38.825,66,alluvial
57.913,39.693,65,loam
57.523,39.372,56,loam
58.374,38.036,48,peat
58.419,40.454,48,peat
56.723,39.096,60,loam
57.141,39.32,66,loam
57.444,39.516,68,loam
57.301,39.58,63,loam
57.158,39.347,73,loam
57.452,39.783,63,loam
58.173,39.015,48,peat
57.366,38.574,68,alluvial
57.194,38.902,71,alluvial
58.295,38.219,52,peat
57.581,40.303,66,sandy
57.808,39.128,68,loam
58.317,41.031,63,loam
58.059,38.985,57,peat
57.323,38.626,73,alluvial
57.597,38.843,71,alluvial
58.2,37.819,48,peat
57.578,40.325,61,sandy
58.059,39.747,53,peat
57.497,38.818,73,alluvial
57.894,38.188,73,alluvial
58.121,40.563,48,peat
58.254,40.359,48,peat
57.588,38.678,73,alluvial
57.796,39.711,60,loam
57.836,37.821,76,alluvial
57.511,39.763,60,loam
58.441,40.296,48,peat
58.118,39.238,49,peat
57.573,39.853,63,loam
58.508,39.304,45,peat
57.805,39.885,56,loam
56.869,39.426,61,loam
57.786,37.81,73,alluvial
57.213,39.164,68,loam
56.787,39.306,56,loam
57.189,39.878,61,loam
58.197,39.455,53,peat
57.115,39.566,66,loam
57.855,38.979,73,alluvial
57.71,38.899,73,alluvial
58.814,39.175,52,peat
58.718,38.185,52,peat
57.158,39.114,61,loam
58.223,39.713,49,peat
58.247,37.419,48,peat
57.6,40.296,61,sandy
58.192,39.602,48,peat
57.894,39.973,63,loam
58.369,40.61,48,peat
57.036,38.484,73,alluvial
58.312,40.597,48,peat
58.405,38.203,44,peat
56.754,39.214,66,loam
57.387,39.417,68,loam
58.415,40.463,48,peat
58.513,39.379,49,peat
58.618,39.629,48,peat
58.661,38.285,48,peat
57.535,37.912,68,alluvial
57.774,39.901,70,loam
57.459,38.411,68,alluvial
57.848,38.009,73,alluvial
58.41,39.81,53,peat
57.621,39.315,65,loam
57.918,37.977,73,alluvial
57.836,39.806,70,loam
57.941,37.505,73,alluvial
57.655,37.905,73,alluvial
57.174,38.545,68,alluvial
57.437,37.955,66,alluvial
57.48,38.158,73,alluvial
58.517,40.547,48,peat
57.141,38.633,68,alluvial
58.343,37.55,49,peat
57.638,38.402,68,alluvial
57.848,38.687,68,alluvial
56.89,39.153,56,loam
57.961,38.714,68,alluvial
57.103,38.54,63,alluvial
58.24,39.878,49,peat
58.321,40.332,49,peat
58.379,38.438,48,peat
57.129,38.434,71,alluvial
57.746,39.756,68,loam
57.86,38.391,73,alluvial
57.523,37.939,78,alluvial
57.0,39.051,73,loam
57.251,38.409,73,alluvial
58.202,39.894,52,peat
57.92,37.706,68,alluvial
58.728,39.008,48,peat
57.435,40.307,69,sandy
58.355,40.976,52,peat
57.581,38.273,78,alluvial
56.668,38.764,78,alluvial
57.863,39.331,65,loam
58.247,39.747,49,peat
58.436,41.076,63,loam
57.37,38.945,73,alluvial
57.454,38.85,68,alluvial
57.812,40.502,64,sandy
58.663,39.035,48,peat
57.662,39.437,58,loam
57.779,39.211,65,loam
57.652,39.322,70,loam
57.497,39.134,66,loam
57.323,39.021,73,loam
58.876,39.345,45,peat
58.266,37.487,44,peat
58.164,38.556,48,peat
56.766,39.32,56,loam
58.551,40.802,49,peat
56.718,39.336,56,loam
58.364,37.873,46,peat
57.363,38.081,73,alluvial
57.244,39.548,66,loam
58.568,38.488,46,peat
57.588,40.443,61,sandy
57.437,39.842,58,loam
58.173,39.503,48,peat
57.129,38.875,66,alluvial
56.575,38.574,75,alluvial
56.728,38.879,76,alluvial
57.37,39.982,68,loam
58.123,40.432,42,peat
57.703,40.459,56,sandy
57.796,38.273,68,alluvial
57.81,38.732,73,alluvial
57.007,38.764,68,alluvial
58.326,41.155,63,loam
57.284,39.686,68,loam
57.521,39.116,63,loam
58.037,37.751,50,peat
58.608,39.119,48,peat
58.042,39.403,49,peat
58.056,39.281,49,peat
56.728,39.112,71,loam
58.692,38.938,49,peat
57.413,39.261,61,loam
57.449,40.233,64,sandy
57.93,39.415,63,loam
58.701,39.442,53,peat
57.769,38.85,70,alluvial
57.994,38.068,73,alluvial
58.097,40.228,48,peat
58.269,40.506,48,peat
56.582,38.723,63,alluvial
58.493,40.362,48,peat
57.798,38.319,78,alluvial
56.938,39.53,73,loam
58.345,39.706,49,peat
58.407,39.358,49,peat
57.86,39.336,65,loam
57.939,39.898,60,loam
58.238,39.392,48,peat
58.082,38.357,52,peat
56.854,39.485,66,loam
57.014,39.15,58,loam
57.949,38.881,71,alluvial
58.434,39.232,48,peat
57.476,39.302,68,loam
58.039,40.655,52,peat
58.243,40.685,48,peat
57.44,40.294,61,sandy
57.392,40.068,61,sandy
57.084,39.279,61,loam
57.079,38.94,76,alluvial
58.147,38.244,48,peat
58.3,40.936,48,peat
58.047,39.914,53,peat
57.898,40.486,56,sandy
58.367,41.157,58,loam
58.625,39.779,53,peat
57.698,39.699,75,loam
57.984,39.103,73,loam
58.551,39.742,53,peat
57.698,38.737,68,alluvial
58.157,39.905,48,peat
58.321,40.447,49,peat
56.697,38.958,76,alluvial
57.669,40.612,64,sandy
58.027,38.958,49,peat
56.749,38.888,79,alluvial
57.612,40.393,66,sandy
58.484,38.393,49,peat
57.308,38.746,68,alluvial
57.146,38.346,71,alluvial
58.307,39.523,52,peat
58.481,38.294,50,peat
57.956,40.452,64,sandy
58.763,39.338,48,peat
57.177,39.928,66,loam
56.907,38.398,68,alluvial
58.52,37.912,48,peat
