lat,lon,bonitet,лён,картофель,овёс,рожь,пшеница
57.375,38.391,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.843,37.573,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.277,39.035,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.02,38.854,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.853,39.297,50,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.824,38.389,71,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.681,38.014,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
57.502,39.562,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.011,40.667,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.3,39.686,44,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.853,38.486,78,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.677,38.981,49,непригодная,непригодная,непригодная,непригодная,непригодная
58.697,37.993,48,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.305,38.938,44,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.786,38.007,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
58.756,39.586,49,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.341,39.873,49,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
58.618,39.998,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.903,37.765,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.72,39.046,48,непригодная,непригодная,непригодная,непригодная,непригодная
57.789,38.26,78,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.153,39.559,76,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
57.903,39.32,65,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.403,39.932,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.73,39.984,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.558,38.68,48,непригодная,непригодная,непригодная,ограниченно пригодная,непригодная
58.312,38.409,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.211,39.272,49,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.867,37.659,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.705,38.542,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.8,38.468,78,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.479,40.33,48,непригодная,ограниченно пригодная,непригодная,непригодная,непригодная
57.973,37.446,71,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
57.129,38.707,73,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.023,38.19,50,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.662,38.077,78,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,непригодная
57.523,39.776,65,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.581,38.149,71,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
56.907,39.033,56,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.233,39.223,53,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
58.114,38.339,52,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
57.456,39.071,66,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
58.154,37.803,56,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная
57.736,37.724,68,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,подходящая,ограниченно пригодная
58.9,39.254,48,непригодная,непригодная,непригодная,непригодная,непригодная
57.521,39.067,61,ограниченно пригодная,ограниченно пригодная,ограниченно пригодная,непригодная,непригодная
